label,sp,t,rpm,rpm_sp,out
boxcar,80.0,36435,19.15,80.0,0.0977
boxcar,80.0,36445,-94.25,80.0,0.2821
boxcar,80.0,36455,70.9,80.0,0.0448
boxcar,80.0,36465,244.59,80.0,-0.2262
boxcar,80.0,36475,138.53,80.0,-0.0799
boxcar,80.0,36485,-10.11,80.0,0.1468
boxcar,80.0,36495,58.99,80.0,0.0503
boxcar,80.0,36505,223.07,80.0,-0.2037
boxcar,80.0,36515,116.88,80.0,-0.0554
boxcar,80.0,36525,-71.46,80.0,0.2351
boxcar,80.0,36535,32.47,80.0,0.0915
boxcar,80.0,36545,257.16,80.0,-0.2546
boxcar,80.0,36555,127.62,80.0,-0.0741
boxcar,80.0,36565,-124.2,80.0,0.314
boxcar,80.0,36575,-34.61,80.0,0.1989
boxcar,80.0,36585,290.54,80.0,-0.296
boxcar,80.0,36595,255.35,80.0,-0.2667
boxcar,80.0,36605,-95.24,80.0,0.2611
boxcar,80.0,36615,-109.67,80.0,0.3053
boxcar,80.0,36625,278.36,80.0,-0.2777
boxcar,80.0,36635,326.18,80.0,-0.3781
boxcar,80.0,36645,-189.14,80.0,0.3973
boxcar,80.0,36655,-222.44,80.0,0.4841
boxcar,80.0,36665,444.34,80.0,-0.5214
boxcar,80.0,36675,492.17,80.0,-0.6417
boxcar,80.0,36685,-254.06,80.0,0.4758
boxcar,80.0,36695,-425.23,80.0,0.7854
boxcar,80.0,36705,398.1,80.0,-0.4409
boxcar,80.0,36715,687.88,80.0,-0.9278
boxcar,80.0,36725,-223.08,80.0,0.4227
boxcar,80.0,36735,-670.39,80.0,1.0
boxcar,80.0,36745,145.25,80.0,-0.0791
boxcar,80.0,36755,792.19,80.0,-1.0
boxcar,80.0,36765,115.79,80.0,-0.0941
boxcar,80.0,36775,-680.98,80.0,1.0
boxcar,80.0,36785,-224.21,80.0,0.472
boxcar,80.0,36795,654.04,80.0,-0.8666
boxcar,80.0,36805,468.22,80.0,-0.6323
boxcar,80.0,36815,-425.33,80.0,0.7177
boxcar,80.0,36825,-514.13,80.0,0.8889
boxcar,80.0,36835,307.53,80.0,-0.3262
boxcar,80.0,36845,689.64,80.0,-0.9535
boxcar,80.0,36855,-39.49,80.0,0.1138
boxcar,80.0,36865,-611.76,80.0,1.0
boxcar,80.0,36875,34.41,80.0,0.0828
boxcar,80.0,36885,786.81,80.0,-1.0
boxcar,80.0,36895,228.7,80.0,-0.2682
boxcar,80.0,36905,-666.15,80.0,1.0
boxcar,80.0,36915,-248.65,80.0,0.4987
boxcar,80.0,36925,735.88,80.0,-1.0
boxcar,80.0,36935,499.12,80.0,-0.6692
boxcar,80.0,36945,-565.09,80.0,0.9444
boxcar,80.0,36955,-561.89,80.0,0.946
boxcar,80.0,36965,453.99,80.0,-0.5675
boxcar,80.0,36975,729.43,80.0,-1.0
boxcar,80.0,36985,-174.5,80.0,0.3325
boxcar,80.0,36995,-706.4,80.0,1.0
boxcar,80.0,37005,24.85,80.0,0.0839
boxcar,80.0,37015,751.23,80.0,-1.0
boxcar,80.0,37025,262.36,80.0,-0.3362
boxcar,80.0,37035,-572.44,80.0,0.9472
boxcar,80.0,37045,-328.24,80.0,0.6146
