label,sp,t,rpm,rpm_sp,out
baseline,80.0,4735655,52.15,80.0,0.0794
baseline,80.0,4735665,51.07,80.0,0.0839
baseline,80.0,4735675,54.29,80.0,0.0816
baseline,80.0,4735685,56.06,80.0,0.0811
baseline,80.0,4735695,67.5,80.0,0.0656
baseline,80.0,4735705,99.31,80.0,0.0173
baseline,80.0,4735715,124.95,80.0,-0.0246
baseline,80.0,4735725,128.83,80.0,-0.0356
baseline,80.0,4735735,97.72,80.0,0.0079
baseline,80.0,4735745,81.26,80.0,0.0321
baseline,80.0,4735755,83.64,80.0,0.0283
baseline,80.0,4735765,71.5,80.0,0.0466
baseline,80.0,4735775,63.52,80.0,0.06
baseline,80.0,4735785,62.93,80.0,0.0625
baseline,80.0,4735795,67.63,80.0,0.0569
baseline,80.0,4735805,68.13,80.0,0.0573
baseline,80.0,4735815,69.78,80.0,0.0561
baseline,80.0,4735825,91.78,80.0,0.0229
baseline,80.0,4735835,121.16,80.0,-0.024
baseline,80.0,4735845,130.89,80.0,-0.0436
baseline,80.0,4735855,90.86,80.0,0.0134
baseline,80.0,4735865,60.9,80.0,0.0592
baseline,80.0,4735875,70.27,80.0,0.0467
baseline,80.0,4735885,67.8,80.0,0.0513
baseline,80.0,4735895,52.33,80.0,0.0765
baseline,80.0,4735905,48.05,80.0,0.0861
baseline,80.0,4735915,55.19,80.0,0.0782
baseline,80.0,4735925,48.8,80.0,0.0905
baseline,80.0,4735935,51.96,80.0,0.0889
baseline,80.0,4735945,72.01,80.0,0.0606
baseline,80.0,4735955,88.77,80.0,0.0355
baseline,80.0,4735965,117.96,80.0,-0.0106
baseline,80.0,4735975,138.03,80.0,-0.0458
baseline,80.0,4735985,121.91,80.0,-0.0269
baseline,80.0,4735995,88.65,80.0,0.0209
baseline,80.0,4736005,69.7,80.0,0.0498
baseline,80.0,4736015,69.94,80.0,0.0506
baseline,80.0,4736025,65.86,80.0,0.0577
baseline,80.0,4736035,53.32,80.0,0.0788
baseline,80.0,4736045,50.7,80.0,0.0857
baseline,80.0,4736055,55.98,80.0,0.0805
baseline,80.0,4736065,72.77,80.0,0.0568
baseline,80.0,4736075,92.57,80.0,0.0268
baseline,80.0,4736085,115.82,80.0,-0.0105
baseline,80.0,4736095,134.09,80.0,-0.0426
baseline,80.0,4736105,109.09,80.0,-0.0096
baseline,80.0,4736115,78.38,80.0,0.0358
baseline,80.0,4736125,81.74,80.0,0.0309
baseline,80.0,4736135,82.64,80.0,0.0292
baseline,80.0,4736145,64.29,80.0,0.0576
baseline,80.0,4736155,58.39,80.0,0.0686
baseline,80.0,4736165,57.86,80.0,0.0716
baseline,80.0,4736175,55.85,80.0,0.0768
baseline,80.0,4736185,64.72,80.0,0.0656
baseline,80.0,4736195,89.44,80.0,0.0286
baseline,80.0,4736205,113.29,80.0,-0.0096
baseline,80.0,4736215,131.86,80.0,-0.0421
baseline,80.0,4736225,115.82,80.0,-0.0227
baseline,80.0,4736235,81.19,80.0,0.0276
baseline,80.0,4736245,58.25,80.0,0.0634
baseline,80.0,4736255,64.53,80.0,0.0558
baseline,80.0,4736265,68.68,80.0,0.0507
baseline,80.0,4736275,52.34,80.0,0.0772
baseline,80.0,4736285,56.16,80.0,0.0743
baseline,80.0,4736295,62.18,80.0,0.0672
baseline,80.0,4736305,52.19,80.0,0.0846
baseline,80.0,4736315,55.78,80.0,0.0821
baseline,80.0,4736325,84.05,80.0,0.0406
baseline,80.0,4736335,115.96,80.0,-0.0096
baseline,80.0,4736345,141.67,80.0,-0.0534
baseline,80.0,4736355,116.47,80.0,-0.0207
baseline,80.0,4736365,82.02,80.0,0.0293
baseline,80.0,4736375,66.74,80.0,0.053
baseline,80.0,4736385,68.62,80.0,0.0514
baseline,80.0,4736395,63.79,80.0,0.06
baseline,80.0,4736405,53.61,80.0,0.0773
baseline,80.0,4736415,48.9,80.0,0.0872
baseline,80.0,4736425,53.85,80.0,0.0825
baseline,80.0,4736435,56.23,80.0,0.0811
baseline,80.0,4736445,73.28,80.0,0.0571
baseline,80.0,4736455,99.51,80.0,0.0171
baseline,80.0,4736465,124.64,80.0,-0.0241
baseline,80.0,4736475,129.27,80.0,-0.0362
baseline,80.0,4736485,94.77,80.0,0.0124
baseline,80.0,4736495,80.21,80.0,0.0339
baseline,80.0,4736505,82.87,80.0,0.0297
baseline,80.0,4736515,72.77,80.0,0.0448
baseline,80.0,4736525,62.06,80.0,0.0624
baseline,80.0,4736535,64.96,80.0,0.0596
baseline,80.0,4736545,64.9,80.0,0.0611
baseline,80.0,4736555,69.74,80.0,0.055
baseline,80.0,4736565,67.6,80.0,0.0595
baseline,80.0,4736575,91.11,80.0,0.0242
baseline,80.0,4736585,121.14,80.0,-0.0237
baseline,80.0,4736595,128.7,80.0,-0.0399
baseline,80.0,4736605,90.59,80.0,0.0144
baseline,80.0,4736615,64.13,80.0,0.0549
baseline,80.0,4736625,71.07,80.0,0.0459
baseline,80.0,4736635,70.83,80.0,0.047
baseline,80.0,4736645,52.29,80.0,0.0768
baseline,80.0,4736655,49.7,80.0,0.0837
baseline,80.0,4736665,55.18,80.0,0.0782
baseline,80.0,4736675,51.74,80.0,0.086
baseline,80.0,4736685,51.29,80.0,0.0899
baseline,80.0,4736695,70.03,80.0,0.0637
baseline,80.0,4736705,86.86,80.0,0.0385
baseline,80.0,4736715,115.18,80.0,-0.0063
baseline,80.0,4736725,136.99,80.0,-0.044
baseline,80.0,4736735,121.49,80.0,-0.026
baseline,80.0,4736745,86.11,80.0,0.0251
baseline,80.0,4736755,69.04,80.0,0.0513
baseline,80.0,4736765,73.35,80.0,0.0457
baseline,80.0,4736775,64.66,80.0,0.0598
baseline,80.0,4736785,53.57,80.0,0.0787
baseline,80.0,4736795,49.53,80.0,0.0876
baseline,80.0,4736805,55.78,80.0,0.0811
baseline,80.0,4736815,73.57,80.0,0.056
baseline,80.0,4736825,87.61,80.0,0.0348
baseline,80.0,4736835,113.29,80.0,-0.006
baseline,80.0,4736845,132.99,80.0,-0.0401
baseline,80.0,4736855,110.68,80.0,-0.0112
baseline,80.0,4736865,76.81,80.0,0.0386
baseline,80.0,4736875,82.57,80.0,0.0303
baseline,80.0,4736885,86.08,80.0,0.0246
baseline,80.0,4736895,65.01,80.0,0.0569
baseline,80.0,4736905,56.5,80.0,0.0718
baseline,80.0,4736915,61.57,80.0,0.0663
baseline,80.0,4736925,57.84,80.0,0.0739
baseline,80.0,4736935,64.03,80.0,0.0668
baseline,80.0,4736945,90.13,80.0,0.0279
baseline,80.0,4736955,114.04,80.0,-0.0104
baseline,80.0,4736965,133.01,80.0,-0.0434
baseline,80.0,4736975,116.31,80.0,-0.0231
baseline,80.0,4736985,78.73,80.0,0.0317
baseline,80.0,4736995,58.58,80.0,0.0632
baseline,80.0,4737005,63.76,80.0,0.0572
