label,duty,t,rpm,out
observer,0.05,140305,27.51,0.05
observer,0.05,140315,27.51,0.05
observer,0.05,140325,27.51,0.05
observer,0.05,140335,27.51,0.05
observer,0.05,140345,27.51,0.05
observer,0.05,140355,27.51,0.05
observer,0.05,140365,27.51,0.05
observer,0.05,140375,27.51,0.05
observer,0.05,140385,27.51,0.05
observer,0.05,140395,27.51,0.05
observer,0.05,140405,27.51,0.05
observer,0.05,140415,27.51,0.05
observer,0.05,140425,27.51,0.05
observer,0.05,140435,27.51,0.05
observer,0.05,140445,27.51,0.05
observer,0.05,140455,27.51,0.05
observer,0.05,140465,27.51,0.05
observer,0.05,140475,27.51,0.05
observer,0.05,140485,27.51,0.05
observer,0.05,140495,27.51,0.05
observer,0.05,140505,27.51,0.05
observer,0.05,140515,27.51,0.05
observer,0.05,140525,27.51,0.05
observer,0.05,140535,27.51,0.05
observer,0.05,140545,27.51,0.05
observer,0.05,140555,27.51,0.05
observer,0.05,140565,27.51,0.05
observer,0.05,140575,27.51,0.05
observer,0.05,140585,27.51,0.05
observer,0.05,140595,27.51,0.05
observer,0.05,140605,27.51,0.05
observer,0.05,140615,27.51,0.05
observer,0.05,140625,27.51,0.05
observer,0.05,140635,27.51,0.05
observer,0.05,140645,27.51,0.05
observer,0.05,140655,27.51,0.05
observer,0.05,140665,27.51,0.05
observer,0.05,140675,27.51,0.05
observer,0.05,140685,27.51,0.05
observer,0.05,140695,27.51,0.05
observer,0.05,140705,27.51,0.05
observer,0.05,140715,27.51,0.05
observer,0.05,140725,27.51,0.05
observer,0.05,140735,27.51,0.05
observer,0.05,140745,27.51,0.05
observer,0.05,140755,27.51,0.05
observer,0.05,140765,27.51,0.05
observer,0.05,140775,27.51,0.05
observer,0.05,140785,27.51,0.05
observer,0.05,140795,27.51,0.05
observer,0.05,140805,27.51,0.05
observer,0.05,140815,27.51,0.05
observer,0.05,140825,27.51,0.05
observer,0.05,140835,27.51,0.05
observer,0.05,140845,27.51,0.05
observer,0.05,140855,27.51,0.05
observer,0.05,140865,27.51,0.05
observer,0.05,140875,27.51,0.05
observer,0.05,140885,27.51,0.05
observer,0.05,140895,27.51,0.05
observer,0.05,140905,27.51,0.05
observer,0.05,140915,27.51,0.05
observer,0.05,140925,27.51,0.05
observer,0.05,140935,27.51,0.05
observer,0.05,140945,27.51,0.05
observer,0.05,140955,27.51,0.05
observer,0.05,140965,27.51,0.05
observer,0.05,140975,27.51,0.05
observer,0.05,140985,27.51,0.05
observer,0.05,140995,27.51,0.05
observer,0.05,141005,27.51,0.05
observer,0.05,141015,27.51,0.05
observer,0.05,141025,27.51,0.05
observer,0.05,141035,27.51,0.05
observer,0.05,141045,27.51,0.05
observer,0.05,141055,27.51,0.05
observer,0.05,141065,27.51,0.05
observer,0.05,141075,27.51,0.05
observer,0.05,141085,27.51,0.05
observer,0.05,141095,27.51,0.05
observer,0.05,141105,27.51,0.05
observer,0.05,141115,27.51,0.05
observer,0.05,141125,27.51,0.05
observer,0.05,141135,27.51,0.05
observer,0.05,141145,27.51,0.05
observer,0.05,141155,27.51,0.05
observer,0.05,141165,27.51,0.05
observer,0.05,141175,27.51,0.05
observer,0.05,141185,27.51,0.05
observer,0.05,141195,27.51,0.05
observer,0.05,141205,27.51,0.05
observer,0.05,141215,27.51,0.05
observer,0.05,141225,27.51,0.05
observer,0.05,141235,27.51,0.05
observer,0.05,141245,27.51,0.05
observer,0.05,141255,27.51,0.05
observer,0.05,141265,27.51,0.05
observer,0.05,141275,27.51,0.05
observer,0.05,141285,27.51,0.05
observer,0.05,141295,27.51,0.05
observer,0.05,141305,27.51,0.05
observer,0.05,141315,27.51,0.05
observer,0.05,141325,27.51,0.05
observer,0.05,141335,27.51,0.05
observer,0.05,141345,27.51,0.05
observer,0.05,141355,27.51,0.05
observer,0.05,141365,27.51,0.05
observer,0.05,141375,27.51,0.05
observer,0.05,141385,27.51,0.05
observer,0.05,141395,27.51,0.05
observer,0.05,141405,27.51,0.05
observer,0.05,141415,27.51,0.05
observer,0.05,141425,27.51,0.05
observer,0.05,141435,27.51,0.05
observer,0.05,141445,27.51,0.05
observer,0.05,141455,27.51,0.05
observer,0.05,141465,27.51,0.05
observer,0.05,141475,27.51,0.05
observer,0.05,141485,27.51,0.05
observer,0.05,141495,27.51,0.05
observer,0.05,141505,27.51,0.05
observer,0.05,141515,27.51,0.05
observer,0.05,141525,27.51,0.05
observer,0.05,141535,27.51,0.05
observer,0.05,141545,27.51,0.05
observer,0.05,141555,27.51,0.05
observer,0.05,141565,27.51,0.05
observer,0.05,141575,27.51,0.05
observer,0.05,141585,27.51,0.05
observer,0.05,141595,27.51,0.05
observer,0.05,141605,27.51,0.05
observer,0.05,141615,27.51,0.05
observer,0.05,141625,27.51,0.05
observer,0.05,141635,27.51,0.05
observer,0.05,141645,27.51,0.05
observer,0.05,141655,27.51,0.05
observer,0.05,141665,27.51,0.05
observer,0.05,141675,27.51,0.05
observer,0.05,141685,27.51,0.05
observer,0.05,141695,27.51,0.05
observer,0.05,141705,27.51,0.05
observer,0.05,141715,27.51,0.05
observer,0.05,141725,27.51,0.05
observer,0.05,141735,27.51,0.05
observer,0.05,141745,27.51,0.05
observer,0.05,141755,27.51,0.05
observer,0.05,141765,27.51,0.05
observer,0.05,141775,27.51,0.05
observer,0.05,141785,27.51,0.05
observer,0.05,141795,27.51,0.05
observer,0.05,141805,27.51,0.05
observer,0.05,141815,27.51,0.05
observer,0.05,141825,27.51,0.05
observer,0.05,141835,27.51,0.05
observer,0.05,141845,27.51,0.05
observer,0.05,141855,27.51,0.05
observer,0.05,141865,27.51,0.05
observer,0.05,141875,27.51,0.05
observer,0.05,141885,27.51,0.05
observer,0.05,141895,27.51,0.05
observer,0.05,141905,27.51,0.05
observer,0.05,141915,27.51,0.05
observer,0.05,141925,27.51,0.05
observer,0.05,141935,27.51,0.05
observer,0.05,141945,27.51,0.05
observer,0.05,141955,27.51,0.05
observer,0.05,141965,27.51,0.05
observer,0.05,141975,27.51,0.05
observer,0.05,141985,27.51,0.05
observer,0.05,141995,27.51,0.05
observer,0.05,142005,27.51,0.05
observer,0.05,142015,27.51,0.05
observer,0.05,142025,27.51,0.05
observer,0.05,142035,27.51,0.05
observer,0.06,142045,24.39,0.0
observer,0.06,142055,-5.76,0.0
observer,0.06,142065,-45.86,0.0
observer,0.06,142075,-80.42,0.0
observer,0.06,142085,-90.37,0.0
observer,0.06,142095,-72.99,0.0
observer,0.06,142105,-29.8,0.0
observer,0.06,142115,-2.28,0.0
observer,0.06,142125,12.38,0.0
observer,0.06,142135,13.87,0.0
observer,0.06,142145,10.77,0.0
observer,0.06,142155,3.23,0.0
observer,0.06,142165,0.97,0.0
observer,0.06,142175,0.29,0.0
observer,0.06,142185,0.09,0.0
observer,0.06,142195,0.03,0.0
observer,0.06,142205,0.01,0.0
observer,0.06,142215,0.0,0.0
observer,0.06,142225,0.0,0.0
observer,0.06,142235,0.0,0.0
observer,0.06,142245,0.0,0.0
observer,0.06,142255,0.0,0.0
observer,0.06,142265,0.0,0.0
observer,0.06,142275,0.0,0.0
observer,0.06,142285,0.0,0.0
observer,0.06,142295,0.0,0.0
observer,0.06,142305,0.0,0.0
observer,0.06,142315,0.0,0.0
observer,0.06,142325,0.0,0.0
observer,0.06,142335,0.0,0.0
observer,0.06,142345,0.0,0.0
observer,0.06,142355,0.0,0.0
observer,0.06,142365,0.0,0.0
observer,0.06,142375,0.0,0.0
observer,0.06,142385,0.0,0.0
observer,0.06,142395,0.0,0.0
observer,0.06,142405,0.0,0.0
observer,0.06,142415,0.0,0.0
observer,0.06,142425,0.0,0.0
observer,0.06,142435,0.0,0.0
observer,0.06,142445,0.0,0.0
observer,0.06,142455,0.0,0.0
observer,0.06,142465,0.0,0.0
observer,0.06,142475,0.0,0.0
observer,0.06,142485,0.0,0.0
observer,0.06,142495,0.0,0.0
observer,0.06,142505,0.0,0.0
observer,0.06,142515,0.0,0.0
observer,0.06,142525,0.0,0.0
observer,0.06,142535,0.0,0.0
observer,0.06,142545,0.0,0.0
observer,0.06,142555,0.0,0.0
observer,0.06,142565,0.0,0.0
observer,0.06,142575,43.81,0.06
observer,0.06,142585,98.7,0.06
observer,0.06,142595,128.47,0.06
observer,0.06,142605,131.91,0.06
observer,0.06,142615,118.44,0.06
observer,0.06,142625,122.03,0.06
observer,0.06,142635,168.52,0.06
observer,0.06,142645,234.79,0.06
observer,0.06,142655,269.35,0.06
observer,0.06,142665,254.23,0.06
observer,0.06,142675,251.45,0.06
observer,0.06,142685,301.0,0.06
observer,0.06,142695,325.25,0.06
observer,0.06,142705,313.89,0.06
observer,0.06,142715,348.46,0.06
observer,0.06,142725,363.52,0.06
observer,0.06,142735,359.27,0.06
observer,0.06,142745,390.35,0.06
observer,0.06,142755,368.38,0.06
observer,0.06,142765,378.96,0.06
observer,0.06,142775,391.51,0.06
observer,0.06,142785,372.76,0.06
observer,0.06,142795,405.85,0.06
observer,0.06,142805,407.72,0.06
observer,0.06,142815,412.67,0.06
observer,0.06,142825,404.97,0.06
observer,0.06,142835,383.86,0.06
observer,0.06,142845,407.93,0.06
observer,0.06,142855,396.01,0.06
observer,0.06,142865,411.05,0.06
observer,0.06,142875,416.09,0.06
observer,0.06,142885,418.65,0.06
observer,0.06,142895,429.32,0.06
observer,0.06,142905,405.78,0.06
observer,0.06,142915,426.76,0.06
observer,0.06,142925,409.09,0.06
observer,0.06,142935,424.49,0.06
observer,0.06,142945,434.16,0.06
observer,0.06,142955,429.84,0.06
observer,0.06,142965,426.22,0.06
observer,0.06,142975,401.37,0.06
observer,0.06,142985,420.75,0.06
observer,0.06,142995,409.03,0.06
observer,0.06,143005,423.68,0.06
observer,0.06,143015,427.78,0.06
observer,0.06,143025,428.72,0.06
observer,0.06,143035,431.44,0.06
observer,0.06,143045,412.19,0.06
observer,0.06,143055,433.39,0.06
observer,0.06,143065,411.52,0.06
observer,0.06,143075,433.06,0.06
observer,0.06,143085,432.35,0.06
observer,0.06,143095,434.97,0.06
observer,0.06,143105,423.65,0.06
observer,0.06,143115,406.06,0.06
observer,0.06,143125,426.68,0.06
observer,0.06,143135,406.46,0.06
observer,0.06,143145,430.47,0.06
observer,0.06,143155,423.06,0.06
observer,0.06,143165,432.21,0.06
observer,0.06,143175,423.82,0.06
observer,0.06,143185,418.18,0.06
observer,0.06,143195,427.13,0.06
observer,0.06,143205,410.65,0.06
observer,0.06,143215,434.81,0.06
observer,0.06,143225,425.37,0.06
observer,0.06,143235,437.7,0.06
observer,0.06,143245,416.26,0.06
observer,0.06,143255,411.08,0.06
observer,0.06,143265,424.45,0.06
observer,0.06,143275,406.81,0.06
observer,0.06,143285,428.08,0.06
observer,0.06,143295,419.24,0.06
observer,0.06,143305,434.7,0.06
observer,0.06,143315,415.33,0.06
observer,0.06,143325,417.28,0.06
observer,0.06,143335,421.46,0.06
observer,0.06,143345,407.19,0.06
observer,0.06,143355,435.79,0.06
observer,0.06,143365,423.46,0.06
observer,0.06,143375,433.99,0.06
observer,0.06,143385,407.46,0.06
observer,0.06,143395,407.59,0.06
observer,0.06,143405,419.29,0.06
observer,0.06,143415,405.91,0.06
observer,0.06,143425,429.89,0.06
observer,0.06,143435,421.31,0.06
observer,0.06,143445,437.35,0.06
observer,0.06,143455,418.64,0.06
observer,0.06,143465,425.04,0.06
observer,0.06,143475,423.86,0.06
observer,0.06,143485,419.82,0.06
observer,0.06,143495,443.16,0.06
observer,0.06,143505,427.43,0.06
observer,0.06,143515,441.28,0.06
observer,0.06,143525,409.6,0.06
observer,0.06,143535,422.52,0.06
observer,0.06,143545,419.74,0.06
observer,0.06,143555,419.36,0.06
observer,0.06,143565,432.97,0.06
observer,0.06,143575,428.38,0.06
observer,0.06,143585,439.85,0.06
observer,0.06,143595,413.39,0.06
observer,0.06,143605,435.57,0.06
observer,0.06,143615,418.04,0.06
observer,0.06,143625,431.98,0.06
observer,0.06,143635,441.18,0.06
observer,0.06,143645,440.09,0.06
observer,0.06,143655,434.61,0.06
observer,0.06,143665,410.87,0.06
observer,0.06,143675,430.99,0.06
observer,0.06,143685,415.24,0.06
observer,0.06,143695,434.21,0.06
observer,0.06,143705,429.08,0.06
observer,0.06,143715,439.61,0.06
observer,0.06,143725,433.63,0.06
observer,0.06,143735,424.06,0.06
observer,0.06,143745,435.9,0.06
observer,0.06,143755,418.09,0.06
observer,0.06,143765,447.38,0.06
observer,0.06,143775,433.73,0.06
observer,0.06,143785,444.33,0.06
observer,0.06,143795,417.73,0.06
observer,0.06,143805,424.65,0.06
observer,0.06,143815,426.71,0.06
observer,0.06,143825,418.44,0.06
observer,0.06,143835,438.1,0.06
observer,0.06,143845,426.36,0.06
observer,0.06,143855,443.18,0.06
observer,0.06,143865,417.87,0.06
observer,0.06,143875,431.6,0.06
observer,0.06,143885,424.41,0.06
observer,0.06,143895,427.21,0.06
observer,0.06,143905,440.99,0.06
observer,0.06,143915,432.29,0.06
observer,0.06,143925,434.94,0.06
observer,0.06,143935,404.64,0.06
observer,0.06,143945,424.14,0.06
observer,0.06,143955,412.19,0.06
observer,0.06,143965,423.22,0.06
observer,0.06,143975,427.4,0.06
observer,0.06,143985,427.6,0.06
observer,0.06,143995,436.05,0.06
observer,0.06,144005,413.71,0.06
observer,0.06,144015,431.84,0.06
observer,0.06,144025,410.18,0.06
observer,0.06,144035,430.5,0.06
observer,0.06,144045,432.78,0.06
observer,0.06,144055,434.61,0.06
observer,0.06,144065,425.46,0.06
observer,0.06,144075,407.51,0.06
observer,0.06,144085,425.97,0.06
